"","diff.fit","low","high","study","treat","bilat_0","age","se"
"2",-0.26171543161469,-0.429856891487467,-0.113496172080289,"Damoiseaux","Antibiotics","Bilateral",0.01,-0.429856891487467
"4",-0.0617207795333089,-0.30028689062371,0.167175637184071,"Damoiseaux","Antibiotics","Unilateral",0.03,-0.30028689062371
"6",-0.260714806962868,-0.426362592722697,-0.114362621078333,"Damoiseaux","Antibiotics","Bilateral",0.05,-0.426362592722697
"8",-0.0620406108951401,-0.295868089024334,0.16244290259773,"Damoiseaux","Antibiotics","Unilateral",0.07,-0.295868089024334
"10",-0.259710570596373,-0.42290841541226,-0.115201312002408,"Damoiseaux","Antibiotics","Bilateral",0.09,-0.42290841541226
"12",-0.0623520651864425,-0.291461414038754,0.157738107223887,"Damoiseaux","Antibiotics","Unilateral",0.11,-0.291461414038754
"14",-0.258702762028536,-0.419496462522239,-0.116010230501415,"Damoiseaux","Antibiotics","Bilateral",0.13,-0.419496462522239
"16",-0.0626549713104879,-0.287075729397593,0.153069127367105,"Damoiseaux","Antibiotics","Unilateral",0.15,-0.287075729397593
"18",-0.257691421070376,-0.416128905708566,-0.116787281396934,"Damoiseaux","Antibiotics","Bilateral",0.17,-0.416128905708566
"20",-0.0629491855486558,-0.282720746783537,0.14844460862028,"Damoiseaux","Antibiotics","Unilateral",0.19,-0.282720746783537
"22",-0.256676587828754,-0.412807984617137,-0.11753028934375,"Damoiseaux","Antibiotics","Bilateral",0.21,-0.412807984617137
"24",-0.0632345716219834,-0.278406622957765,0.143873657922896,"Damoiseaux","Antibiotics","Unilateral",0.23,-0.278406622957765
"26",-0.255658302703567,-0.409536005597396,-0.118237000104622,"Damoiseaux","Antibiotics","Bilateral",0.25,-0.409536005597396
"28",-0.0635109993964004,-0.274143930966516,0.139365828181673,"Damoiseaux","Antibiotics","Unilateral",0.27,-0.274143930966516
"30",-0.254636606383873,-0.406315339677428,-0.118905082578211,"Damoiseaux","Antibiotics","Bilateral",0.29,-0.406315339677428
"32",-0.0637783450427736,-0.269943633285663,0.134931100143768,"Damoiseaux","Antibiotics","Unilateral",0.31,-0.269943633285663
"34",-0.253611539843944,-0.403148419687011,-0.119532131693676,"Damoiseaux","Antibiotics","Bilateral",0.33,-0.403148419687011
"36",-0.0640364911872626,-0.265817047328649,0.130579856312594,"Damoiseaux","Antibiotics","Unilateral",0.35,-0.265817047328649
